iter	Passed	Remaining
0	22	11139
1	43	10719
2	61	10219
3	78	9747
4	101	10090
5	118	9787
6	141	9981
7	164	10099
8	182	9934
9	203	9980
10	227	10110
11	249	10128
12	270	10117
13	291	10133
14	313	10146
15	331	10040
16	353	10038
17	372	9977
18	396	10027
19	417	10012
20	433	9889
21	453	9843
22	478	9915
23	497	9873
24	518	9842
25	538	9813
26	559	9803
27	575	9694
28	593	9636
29	612	9595
30	631	9558
31	652	9540
32	668	9453
33	690	9464
34	713	9479
35	732	9446
36	752	9414
37	777	9448
38	795	9404
39	814	9367
40	834	9345
41	857	9348
42	876	9312
43	897	9302
44	913	9235
45	932	9201
46	953	9193
47	974	9177
48	1000	9206
49	1023	9208
50	1039	9153
51	1056	9104
52	1074	9059
53	1092	9026
54	1110	8983
55	1129	8953
56	1145	8904
57	1165	8880
58	1186	8866
59	1202	8818
60	1217	8761
61	1238	8750
62	1261	8749
63	1296	8831
64	1322	8853
65	1343	8836
66	1366	8829
67	1389	8827
68	1407	8794
69	1425	8754
70	1446	8738
71	1468	8731
72	1485	8687
73	1504	8663
74	1528	8661
75	1550	8650
76	1569	8621
77	1590	8603
78	1612	8595
79	1629	8554
80	1648	8525
81	1667	8499
82	1687	8478
83	1706	8451
84	1727	8436
85	1748	8415
86	1764	8374
87	1786	8364
88	1805	8335
89	1822	8300
90	1841	8277
91	1860	8249
92	1886	8257
93	1909	8248
94	1930	8231
95	1958	8243
96	1980	8229
97	2002	8213
98	2024	8200
99	2043	8174
100	2067	8166
101	2090	8158
102	2108	8126
103	2131	8116
104	2153	8103
105	2177	8095
106	2197	8072
107	2220	8060
108	2245	8056
109	2267	8039
110	2290	8028
111	2316	8026
112	2337	8006
113	2362	8000
114	2380	7970
115	2400	7946
116	2423	7933
117	2438	7894
118	2454	7859
119	2472	7829
