iter	F:beta=2	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
56	0.8654529056	0.3502297196	0.8428019738	0.4049275907	0.8713071631	0.8713071631
57	0.8651911127	0.3498350444	0.8430756394	0.4054257724	0.8709024686	0.8709024686
58	0.865541223	0.3494021616	0.843220914	0.4056905973	0.8713071631	0.8713071631
59	0.8675702016	0.3483942798	0.8437558372	0.4066679224	0.8737353298	0.8737353298
60	0.8690754705	0.347346695	0.8448364943	0.4086529378	0.8753541076	0.8753541076
61	0.8704294849	0.3464651118	0.8452040364	0.4093313185	0.8769728855	0.8769728855
62	0.8698279723	0.3461896378	0.8453763603	0.4096499527	0.8761634966	0.8761634966
63	0.8698545858	0.3457554227	0.8455020666	0.4098826202	0.8761634966	0.8761634966
64	0.8712083356	0.3451286023	0.8458686192	0.4105621806	0.8777822744	0.8777822744
65	0.8712083356	0.344796939	0.8458686192	0.4105621806	0.8777822744	0.8777822744
66	0.8705803857	0.3444312346	0.8459159182	0.4106499905	0.8769728855	0.8769728855
67	0.870885512	0.3439697842	0.8458503702	0.410528309	0.8773775799	0.8773775799
68	0.8718804713	0.3436004162	0.8460305848	0.4108629826	0.8785916633	0.8785916633
69	0.8719249145	0.3429860302	0.8462398605	0.4112521311	0.8785916633	0.8785916633
70	0.8726235601	0.3427315951	0.8465270246	0.4117870002	0.8794010522	0.8794010522
71	0.8723276142	0.3420535009	0.8466347214	0.4119878604	0.8789963577	0.8789963577
72	0.8727214177	0.3417652989	0.8469876841	0.4126471705	0.8794010522	0.8794010522
73	0.8726858306	0.3414602241	0.8468201135	0.4123339658	0.8794010522	0.8794010522
74	0.8726858306	0.3411988699	0.8468201135	0.4123339658	0.8794010522	0.8794010522
75	0.8733843512	0.3404449296	0.8471068728	0.4128701595	0.8802104411	0.8802104411
76	0.8747274059	0.3401122977	0.847428344	0.4134724858	0.8818292189	0.8818292189
77	0.8733665466	0.3399165809	0.8470231328	0.4127134725	0.8802104411	0.8802104411
78	0.8733843512	0.339670742	0.8471068728	0.4128701595	0.8802104411	0.8802104411
79	0.8747095794	0.3393192109	0.8473446942	0.4133156297	0.8818292189	0.8818292189
80	0.8743872627	0.3389430519	0.8473271444	0.4132827324	0.8814245245	0.8814245245
81	0.873760266	0.3383902176	0.8473757534	0.4133738602	0.8806151356	0.8806151356
82	0.8740827043	0.338231215	0.847393299	0.4134067603	0.88101983	0.88101983
83	0.8731063132	0.3377986926	0.8472987015	0.4132294241	0.8798057467	0.8798057467
84	0.8731063132	0.3374359326	0.8472987015	0.4132294241	0.8798057467	0.8798057467
85	0.8731063132	0.3372206026	0.8472987015	0.4132294241	0.8798057467	0.8798057467
86	0.8738047985	0.3369683083	0.8475852127	0.4137668758	0.8806151356	0.8806151356
87	0.8744763781	0.3366681905	0.8477457335	0.4140684411	0.8814245245	0.8814245245
88	0.8747630613	0.3365064417	0.8475956932	0.4137865553	0.8818292189	0.8818292189
89	0.8741094307	0.3363265934	0.8475189096	0.4136424093	0.88101983	0.88101983
90	0.8745120294	0.3360210372	0.847913285	0.4143835616	0.8814245245	0.8814245245
91	0.8751834291	0.3359023633	0.8480734816	0.4146851817	0.8822339134	0.8822339134
92	0.8751655921	0.3357610068	0.8479897428	0.4145274767	0.8822339134	0.8822339134
93	0.8748343808	0.3354749832	0.8479305899	0.4144161278	0.8818292189	0.8818292189
94	0.8749235465	0.3351757397	0.8483495831	0.4152057927	0.8818292189	0.8818292189
95	0.8748967949	0.33489779	0.8482238417	0.4149685774	0.8818292189	0.8818292189
96	0.8749057119	0.3347099958	0.8482657514	0.415047619	0.8818292189	0.8818292189
97	0.8749057119	0.3345410214	0.8482657514	0.415047619	0.8818292189	0.8818292189
98	0.8772232233	0.333797695	0.8486781094	0.415826517	0.8846620801	0.8846620801
99	0.8772679041	0.333711966	0.8488872518	0.4162223915	0.8846620801	0.8846620801
