iter	Passed	Remaining
0	23	11676
1	45	11283
2	64	10695
3	82	10249
4	102	10161
5	123	10196
6	148	10490
7	171	10546
8	194	10614
9	215	10545
10	232	10315
11	253	10320
12	274	10286
13	292	10167
14	315	10190
15	336	10186
16	359	10208
17	378	10139
18	393	9962
19	411	9868
20	434	9920
21	457	9937
22	473	9824
23	492	9762
24	512	9730
25	532	9706
26	554	9711
27	574	9686
28	591	9600
29	606	9506
30	626	9484
31	648	9478
32	671	9499
33	692	9492
34	714	9497
35	732	9441
36	750	9391
37	769	9355
38	792	9370
39	812	9343
40	829	9284
41	849	9261
42	871	9262
43	890	9229
44	911	9213
45	928	9159
46	951	9170
47	969	9128
48	988	9099
49	1006	9058
50	1030	9070
51	1047	9021
52	1068	9011
53	1089	8999
54	1112	8998
55	1131	8969
56	1149	8936
57	1175	8960
58	1198	8957
59	1220	8947
60	1242	8945
61	1264	8929
62	1279	8878
63	1304	8888
64	1325	8872
65	1345	8847
66	1364	8816
67	1386	8805
68	1404	8773
69	1423	8742
70	1442	8713
71	1461	8685
72	1476	8633
73	1495	8608
74	1515	8589
75	1539	8587
76	1561	8575
77	1583	8564
78	1603	8546
79	1623	8524
80	1640	8483
81	1661	8471
82	1682	8454
83	1703	8435
84	1723	8414
85	1743	8395
86	1764	8377
87	1783	8350
88	1805	8337
89	1824	8309
90	1845	8294
