iter	F:beta=2	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
29	0.8286427538	0.5755754611	0.797151781	0.3327969102	0.8369081344	0.8369081344
30	0.8285247675	0.5727588017	0.7966061318	0.3320488118	0.8369081344	0.8369081344
31	0.8292690588	0.5698220241	0.7971131958	0.3327439318	0.8377175233	0.8377175233
32	0.8292774923	0.5678175321	0.7971521579	0.3327974277	0.8377175233	0.8377175233
33	0.8285107115	0.5650329523	0.7980109687	0.3339796413	0.8365034399	0.8365034399
34	0.8298950995	0.562393047	0.7970746887	0.3326910726	0.8385269122	0.8385269122
35	0.828811364	0.5596745603	0.797932578	0.3338714885	0.8369081344	0.8369081344
36	0.8293280967	0.5569263146	0.7973860105	0.3331187641	0.8377175233	0.8377175233
37	0.8296116381	0.5541814063	0.797230244	0.3329046777	0.8381222177	0.8381222177
38	0.8286540495	0.5514999895	0.7986763024	0.3348995463	0.8365034399	0.8365034399
39	0.828403879	0.5491300118	0.7989904867	0.3353351729	0.8360987454	0.8360987454
40	0.828429176	0.5465783781	0.7991081631	0.3354985385	0.8360987454	0.8360987454
41	0.828670916	0.5442144298	0.7987546499	0.3350081037	0.8365034399	0.8365034399
42	0.8289493133	0.5415107994	0.8000496064	0.3368095161	0.8365034399	0.8365034399
43	0.8292500719	0.5387931035	0.7999698266	0.3366981439	0.8369081344	0.8369081344
44	0.8301301574	0.536361277	0.8011070462	0.3382905704	0.8377175233	0.8377175233
45	0.830663666	0.5340791141	0.8006321082	0.3376242464	0.8385269122	0.8385269122
46	0.8303377932	0.5319169029	0.8005943219	0.3375713121	0.8381222177	0.8381222177
47	0.8303293423	0.5293711545	0.8005550416	0.3375162973	0.8381222177	0.8381222177
48	0.8298717234	0.5270676258	0.8013844672	0.3386806351	0.8373128288	0.8373128288
49	0.8306844311	0.5248156984	0.8022081406	0.339842468	0.8381222177	0.8381222177
50	0.8300937375	0.5225862275	0.8069121975	0.3465861433	0.8360987454	0.8360987454
51	0.8311837597	0.5202866926	0.804541916	0.3431648716	0.8381222177	0.8381222177
52	0.8304852475	0.5180901272	0.8027632294	0.3406285996	0.8377175233	0.8377175233
53	0.830933771	0.5162442633	0.8048629734	0.343625498	0.8377175233	0.8377175233
54	0.8305821084	0.5141001393	0.8047076118	0.3434024896	0.8373128288	0.8373128288
55	0.8319296375	0.5119303913	0.808048142	0.3482428115	0.8381222177	0.8381222177
56	0.8319466048	0.5100140569	0.8081281842	0.3483599664	0.8381222177	0.8381222177
57	0.8312767535	0.5083137938	0.807978326	0.3481406697	0.8373128288	0.8373128288
58	0.8306020403	0.5065156909	0.8093194331	0.3501101508	0.8360987454	0.8360987454
59	0.8329474552	0.5044429781	0.8098408737	0.3508801625	0.8389316066	0.8389316066
60	0.8324899248	0.5024549697	0.8106979326	0.3521509947	0.8381222177	0.8381222177
61	0.8342070311	0.5008155246	0.8112688707	0.3530011903	0.84014569	0.84014569
62	0.834601385	0.4989795628	0.8116242856	0.3535319149	0.8405503845	0.8405503845
63	0.8345332834	0.4970606941	0.8113023695	0.3530511644	0.8405503845	0.8405503845
64	0.8341644859	0.4952695517	0.8110677226	0.3527013252	0.84014569	0.84014569
65	0.8358888384	0.4934577618	0.811677099	0.3536108751	0.8421691623	0.8421691623
66	0.8361210372	0.4919688416	0.8112687547	0.3530010173	0.8425738567	0.8425738567
67	0.836240389	0.4902283591	0.8118308747	0.3538409245	0.8425738567	0.8425738567
68	0.836453602	0.4887807142	0.8128366003	0.3553507424	0.8425738567	0.8425738567
69	0.8355946329	0.4870770053	0.8133030681	0.3560541189	0.8413597734	0.8413597734
70	0.8343403453	0.4854402152	0.813414989	0.356223176	0.8397409955	0.8397409955
71	0.8325515227	0.4839941352	0.8171103316	0.3618697479	0.8365034399	0.8365034399
72	0.8329297898	0.4826561703	0.8173875846	0.3622985284	0.8369081344	0.8369081344
73	0.8352123568	0.4811682008	0.8160450986	0.3602290474	0.84014569	0.84014569
74	0.8365523811	0.4796995371	0.8163338844	0.3606727935	0.8417644678	0.8417644678
75	0.8365011387	0.4784168449	0.8160899657	0.3602979387	0.8417644678	0.8417644678
76	0.8362259941	0.4771285549	0.8163024527	0.3606244579	0.8413597734	0.8413597734
77	0.8371964315	0.4759594696	0.8163560341	0.3607068607	0.8425738567	0.8425738567
78	0.8361129974	0.4747385202	0.8172897165	0.3621470896	0.8409550789	0.8409550789
79	0.8355024768	0.4732285798	0.8174317544	0.3623669052	0.84014569	0.84014569
80	0.8361280715	0.4718173616	0.8188945628	0.3646418539	0.8405503845	0.8405503845
81	0.8366342717	0.470507925	0.8197861057	0.3660384006	0.8409550789	0.8409550789
82	0.8369438317	0.4692469651	0.8197340815	0.3659566978	0.8413597734	0.8413597734
83	0.8368925167	0.4677568336	0.8194880086	0.3655705996	0.8413597734	0.8413597734
84	0.8357222673	0.466414342	0.8200247762	0.3664135617	0.8397409955	0.8397409955
85	0.8365982874	0.4650731292	0.821154678	0.3681971282	0.8405503845	0.8405503845
86	0.8367796607	0.4639193272	0.8204845403	0.3671378092	0.8409550789	0.8409550789
87	0.8373545782	0.4626292994	0.8217079975	0.3690750932	0.8413597734	0.8413597734
88	0.8355895867	0.4614943993	0.8224836003	0.3703108253	0.8389316066	0.8389316066
89	0.8355895867	0.4602491904	0.8224836003	0.3703108253	0.8389316066	0.8389316066
90	0.8359081745	0.4593451701	0.8224711985	0.3702910195	0.8393363011	0.8393363011
