iter	F:beta=2	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.6267754019	0.6880606368	0.8830303704	0.4893256523	0.584378794	0.584378794
1	0.7790250611	0.6834688749	0.7678505715	0.2956841139	0.7818696884	0.7818696884
2	0.7878647279	0.6783328768	0.8110486223	0.3526728699	0.7822743828	0.7822743828
3	0.7577376714	0.6735667038	0.807426424	0.3473347146	0.7462565763	0.7462565763
4	0.7878565762	0.6688587287	0.8110054316	0.352608537	0.7822743828	0.7822743828
5	0.7891887509	0.6641562322	0.8111064698	0.3527590603	0.7838931607	0.7838931607
6	0.8093791372	0.6596115361	0.7726927949	0.3014147431	0.8191015783	0.8191015783
7	0.837120293	0.6552406855	0.768179113	0.2960682804	0.8563334682	0.8563334682
8	0.8126373706	0.6510875173	0.7731467419	0.30195962	0.8231485229	0.8231485229
9	0.8205581642	0.6468381483	0.7570941847	0.2834656447	0.8381222177	0.8381222177
10	0.8447715139	0.6423870659	0.7530366282	0.2790305858	0.8713071631	0.8713071631
11	0.8368093492	0.6383398886	0.7668716703	0.2945434298	0.8563334682	0.8563334682
12	0.830110969	0.6341722828	0.7966083864	0.3320518981	0.8389316066	0.8389316066
13	0.825225153	0.6298953702	0.8004994249	0.3374384236	0.8316471064	0.8316471064
14	0.8252588035	0.6259269135	0.8006577711	0.3376602037	0.8316471064	0.8316471064
15	0.8239440891	0.6217822547	0.8050226667	0.3438549362	0.8288142452	0.8288142452
16	0.8248982433	0.6178785567	0.800461274	0.3373850197	0.831242412	0.831242412
17	0.8255351741	0.6142231043	0.8004584238	0.3373810305	0.8320518009	0.8320518009
18	0.8257946291	0.6104923634	0.8001803442	0.3369921363	0.8324564953	0.8324564953
19	0.8268147163	0.6071447788	0.7989940072	0.3353400586	0.8340752732	0.8340752732
20	0.8265387829	0.6036479897	0.7991914335	0.3356142066	0.8336705787	0.8336705787
21	0.8283000104	0.600311697	0.7970345481	0.3326359833	0.8365034399	0.8365034399
22	0.8283084364	0.5973226101	0.797073559	0.332689522	0.8365034399	0.8365034399
23	0.8268568192	0.5936668028	0.7991906315	0.3356130923	0.8340752732	0.8340752732
24	0.8287130854	0.5901645995	0.7989505859	0.3352798054	0.8365034399	0.8365034399
25	0.827532508	0.5870118395	0.7978941833	0.3338185347	0.8352893565	0.8352893565
26	0.8278080874	0.5840586211	0.7976984053	0.3335486997	0.835694051	0.835694051
27	0.8275493534	0.5812104213	0.7979724911	0.3339265491	0.8352893565	0.8352893565
28	0.8287017596	0.5783564444	0.7974248861	0.3331722249	0.8369081344	0.8369081344
