iter	F:beta=2	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.808686785	0.6613743764	0.7317980603	0.2572359353	0.8305016181	0.8305016181
1	0.8086625266	0.6340291438	0.7316987471	0.2571392786	0.8305016181	0.8305016181
2	0.6479963173	0.6094374577	0.869295975	0.4577507599	0.609223301	0.609223301
3	0.8035538376	0.5898878634	0.7837695749	0.3151008827	0.8086569579	0.8086569579
4	0.7723624984	0.5698861991	0.835261324	0.3915587129	0.7580906149	0.7580906149
5	0.7760939905	0.554331858	0.8335579454	0.3886255924	0.7629449838	0.7629449838
6	0.7796866137	0.5386170598	0.83306103	0.3877759608	0.767394822	0.767394822
7	0.7973269911	0.5233204569	0.8314053586	0.384964483	0.7892394822	0.7892394822
8	0.8132533503	0.5087263823	0.8237138284	0.3722831135	0.8106796117	0.8106796117
9	0.8084726575	0.4966947414	0.8209152911	0.3678182154	0.805420712	0.805420712
10	0.8063306381	0.487184679	0.8302425248	0.3830075479	0.800566343	0.800566343
11	0.8158842832	0.4767711871	0.8288654938	0.380708736	0.8127022654	0.8127022654
12	0.8214020277	0.4680983419	0.8238476861	0.3724986231	0.8207928803	0.8207928803
13	0.8210830396	0.4611741204	0.8190139688	0.3648284534	0.8216019417	0.8216019417
14	0.8236999059	0.4558250303	0.8191780232	0.3650850492	0.8248381877	0.8248381877
15	0.8252364903	0.4500202985	0.8219913621	0.3695258777	0.8260517799	0.8260517799
16	0.8304913331	0.4436687913	0.8256316322	0.3753879861	0.8317152104	0.8317152104
17	0.8312969371	0.4386590493	0.828021929	0.3793103448	0.8321197411	0.8321197411
18	0.8317191689	0.4308713768	0.8285142691	0.3801256003	0.8325242718	0.8325242718
19	0.8337932452	0.4269683975	0.8323995647	0.3866491656	0.8341423948	0.8341423948
20	0.8324232447	0.421170129	0.8304071353	0.3832836932	0.8329288026	0.8329288026
21	0.8410026434	0.4150563654	0.831366818	0.3848993908	0.8434466019	0.8434466019
22	0.8426450356	0.4117045473	0.8315343491	0.3851824548	0.8454692557	0.8454692557
23	0.8351037457	0.4087840906	0.8340963017	0.3895491417	0.8353559871	0.8353559871
24	0.8373759581	0.4049656429	0.8325459361	0.3868980963	0.838592233	0.838592233
25	0.8377465833	0.4017538596	0.8327828985	0.3873015873	0.8389967638	0.8389967638
26	0.8375463931	0.3989914062	0.8349909401	0.3910909777	0.8381877023	0.8381877023
27	0.8380645375	0.3962888321	0.834356257	0.3899962392	0.8389967638	0.8389967638
28	0.8361913329	0.3927942914	0.8346817613	0.3905571294	0.8365695793	0.8365695793
29	0.8377785029	0.3914492022	0.8361456932	0.3930942895	0.8381877023	0.8381877023
30	0.8400557065	0.38964902	0.836222848	0.3932286741	0.8410194175	0.8410194175
31	0.8440340561	0.3872734245	0.8367544709	0.3941564562	0.8458737864	0.8458737864
32	0.8443954958	0.3860548103	0.8369472503	0.3944936828	0.8462783172	0.8462783172
33	0.8446464755	0.3846774656	0.8381815594	0.3966628745	0.8462783172	0.8462783172
34	0.8459362189	0.3830916263	0.8381851386	0.39666919	0.8478964401	0.8478964401
35	0.8468006845	0.3816773923	0.8408522336	0.4014165391	0.8483009709	0.8483009709
36	0.8468236008	0.3805836041	0.8393787215	0.3987835012	0.8487055016	0.8487055016
37	0.849791203	0.3785453836	0.8412965114	0.4022154316	0.8519417476	0.8519417476
38	0.8500088731	0.3772573462	0.8423642922	0.4041450777	0.8519417476	0.8519417476
39	0.8482984266	0.3762488086	0.8418770969	0.4032629559	0.8499190939	0.8499190939
40	0.8521518357	0.3744592867	0.8418241912	0.4031673345	0.8547734628	0.8547734628
41	0.8525649136	0.3734573878	0.8422703562	0.4039747755	0.8551779935	0.8551779935
42	0.8516046907	0.3726376376	0.8422948319	0.4040191388	0.8539644013	0.8539644013
43	0.8500437107	0.3716984211	0.8425353887	0.4044555406	0.8519417476	0.8519417476
44	0.8500611305	0.3710425662	0.842620963	0.404610951	0.8519417476	0.8519417476
45	0.8494432246	0.3687275478	0.8427519205	0.4048489513	0.8511326861	0.8511326861
46	0.8508007814	0.3679454461	0.8430890469	0.405462589	0.8527508091	0.8527508091
47	0.8521575174	0.3662759893	0.8434251646	0.4060757547	0.854368932	0.854368932
48	0.8541211289	0.3654932902	0.843586149	0.4063699156	0.8567961165	0.8567961165
49	0.853522173	0.3648196328	0.8438029849	0.4067666282	0.855987055	0.855987055
50	0.8538216874	0.3640986834	0.8436945018	0.4065680814	0.8563915858	0.8563915858
51	0.8539790666	0.3629026545	0.8444634005	0.4079784159	0.8563915858	0.8563915858
52	0.854409768	0.3623928816	0.8449958383	0.4089592585	0.8567961165	0.8567961165
53	0.8552290607	0.3612791612	0.8442843934	0.407649433	0.8580097087	0.8580097087
54	0.8549035344	0.3606073209	0.8442650574	0.4076139204	0.857605178	0.857605178
55	0.8545692002	0.3603365733	0.8442030131	0.4075	0.8572006472	0.8572006472
56	0.8551502822	0.3599441923	0.8439006567	0.4069455104	0.8580097087	0.8580097087
57	0.8567681476	0.3585991981	0.843955366	0.4070457591	0.8600323625	0.8600323625
58	0.8568207399	0.3579899883	0.8442105831	0.4075138969	0.8600323625	0.8600323625
59	0.8563104366	0.3572383376	0.8448538358	0.4086973254	0.859223301	0.859223301
60	0.8553866614	0.3565614423	0.8450529147	0.4090646095	0.8580097087	0.8580097087
61	0.856345493	0.3561060551	0.8450244863	0.4090121317	0.859223301	0.859223301
62	0.8569610178	0.3557460033	0.8448919171	0.4087675447	0.8600323625	0.8600323625
63	0.8561965232	0.3554563826	0.8442996971	0.4076775432	0.859223301	0.859223301
64	0.8562228082	0.3552423486	0.8444275107	0.4079124256	0.859223301	0.859223301
65	0.8567243255	0.3544670033	0.843742803	0.4066564652	0.8600323625	0.8600323625
66	0.8579280018	0.3539659318	0.8433542393	0.405946255	0.8616504854	0.8616504854
67	0.8586742417	0.3536818801	0.8438595598	0.406870229	0.8624595469	0.8624595469
68	0.8619458001	0.3526618656	0.8441794372	0.4074567244	0.8665048544	0.8665048544
69	0.8625765184	0.3522243738	0.8441333906	0.4073722212	0.8673139159	0.8673139159
70	0.8620514712	0.352038205	0.8446864787	0.4083889418	0.8665048544	0.8665048544
71	0.8620514712	0.3517327335	0.8446864787	0.4083889418	0.8665048544	0.8665048544
72	0.8620426643	0.3513604073	0.844644202	0.4083110942	0.8665048544	0.8665048544
73	0.8634185743	0.3510601998	0.8451000129	0.4091515729	0.8681229773	0.8681229773
74	0.8634273929	0.3508013322	0.8451422563	0.4092295957	0.8681229773	0.8681229773
75	0.8628056266	0.35023953	0.8452316042	0.4093946916	0.8673139159	0.8673139159
76	0.8627968125	0.349914576	0.8451893123	0.409316533	0.8673139159	0.8673139159
77	0.86283207	0.3496267433	0.845358505	0.4096293466	0.8673139159	0.8673139159
78	0.8644787074	0.3487419207	0.8455783047	0.4100362526	0.8693365696	0.8693365696
79	0.8644787074	0.3485284464	0.8455783047	0.4100362526	0.8693365696	0.8693365696
80	0.8641724375	0.3482941573	0.8456442698	0.4101584877	0.8689320388	0.8689320388
81	0.8638660994	0.34802191	0.8457103068	0.4102809096	0.8685275081	0.8685275081
82	0.863901395	0.3477438353	0.8458794714	0.41059476	0.8685275081	0.8685275081
83	0.8645316776	0.3469833787	0.8458317615	0.4105062082	0.8693365696	0.8693365696
84	0.8645228488	0.3468592518	0.8457895082	0.4104278075	0.8693365696	0.8693365696
85	0.8632620384	0.3465459593	0.8458849339	0.4106049005	0.8677184466	0.8677184466
86	0.8639631691	0.3463310757	0.8461756723	0.4111451551	0.8685275081	0.8685275081
87	0.8642430486	0.346234261	0.8459824563	0.4107860011	0.8689320388	0.8689320388
88	0.8645758244	0.3455858536	0.8460430917	0.4108986616	0.8693365696	0.8693365696
89	0.8645934844	0.3453970723	0.8461276533	0.4110558531	0.8693365696	0.8693365696
90	0.864926212	0.345147854	0.8461882138	0.4111684835	0.8697411003	0.8697411003
91	0.8653119025	0.3449354755	0.8465023495	0.4117534456	0.8701456311	0.8701456311
92	0.8663096519	0.3446411522	0.8466833577	0.4120910656	0.8713592233	0.8713592233
93	0.8659329145	0.3444001078	0.8464118422	0.411584783	0.8709546926	0.8709546926
